YEAR,FA,TEMP,RF
1990,1414222.68,9.234166667,1173.613812
1991,1412192.36,9.179416667,1173.613812
1992,1703242.13,8.836583333,1173.49779
1993,1700438.49,8.866583333,1173.613812
1994,1696563.57,9.03875,1173.613812
1995,1692688.65,9.347083333,1173.613812
1996,1688813.73,9.038916667,1173.613812
1997,1684938.8,9.202583333,1173.49779
1998,1681063.88,9.522666667,1173.613812
1999,1677188.96,9.285083333,1173.613812
2000,1673310.71,9.201166667,1166.928729
2001,1670519.64,9.414583333,1173.613812
2002,1667728.57,9.570416667,1173.49779
2003,1664937.51,9.525583333,1173.613812
2004,1662146.43,9.324583333,1173.613812
2005,1659355.36,9.700916667,1173.613812
2006,1657823.94,9.5325,1173.613812
2007,1655096.17,9.732166667,1173.49779
2008,1652368.4,9.43175,1173.49779
2009,1649640.63,9.50525,1173.49779
2010,1646912.87,9.703083333,1173.49779
2011,1644237.57,9.516,1173.49779
2012,1640739.54,9.507333333,1173.49779
2013,1638064.16,9.6065,1173.49779
2014,1635388.78,9.570666667,1173.49779
2015,1632713.4,9.831,1173.49779
2016,1630512.68,,1173.49779
2017,1627321.11,,1173.49779
2018,1624842.93,,1173.49779
2019,1622252.6,,1173.49779
2020,1619727.62,,
